band	ul_mhz	dl_mhz	duplex	generation	note	source
# 주파수 대역 색인 — tools/extract_bands.py 가 만든다.
# 손으로 고치지 말 것.
# band·ul_mhz·dl_mhz·duplex 는 규격 원문의 표에서 뽑았다
# (TS 36.101 표 5.5-1 · TS 38.101-1/2 표 5.2-1, 단위 MHz).
# note 칸만 사람이 붙인 흔한 이름이다 — 규격에 없는 칸이다.
# 지시서의 region 칸 대신 duplex·note 를 두었다.
# 규격에 없는 칸을 지어내지 않으려는 것이다.
88	412-417	422-427	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
89	824-849	824-849	SUL	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
90	2496-2690	2496-2690	TDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
91	832-862	1427-1432	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
92	832-862	1432-1517	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
93	880-915	1427-1432	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
94	880-915	1432-1517	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
95	2010-2025	2010-2025	SUL	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
96	5925-7125	5925-7125	TDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
97	2300-2400	2300-2400	SUL	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
98	1880-1920	1880-1920	SUL	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
99	1626.5-1660.5	1626.5-1660.5	SUL	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
100	874.4-880	919.4-925	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
101	1900-1910	1900-1910	TDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
102	5925-6425	5925-6425	TDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
104	6425-7125	6425-7125	TDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
105	663-703	612-652	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
106	896-901	935-940	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
109	703-733	1432-1517	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
110	1390-1395	1432-1435	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
115	1427.9-1462.9	1475.9-1510.9	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
257	26500-29500	26500-29500	TDD	5G(NR FR2)	28 GHz — 한국·미국·일본	3GPP TS 38.101-2 표 5.2-1
258	24250-27500	24250-27500	TDD	5G(NR FR2)	26 GHz — 유럽	3GPP TS 38.101-2 표 5.2-1
259	39500-43500	39500-43500	TDD	5G(NR FR2)		3GPP TS 38.101-2 표 5.2-1
260	37000-40000	37000-40000	TDD	5G(NR FR2)	39 GHz (미국)	3GPP TS 38.101-2 표 5.2-1
261	27500-28350	27500-28350	TDD	5G(NR FR2)	28 GHz 일부 (미국)	3GPP TS 38.101-2 표 5.2-1
262	47200-48200	47200-48200	TDD	5G(NR FR2)		3GPP TS 38.101-2 표 5.2-1
263	57000-71000	57000-71000	TDD	5G(NR FR2)		3GPP TS 38.101-2 표 5.2-1
